"Id","Name","Country","City","No of employees","Total Assets (m USD)","Op. Rev. (m USD)","Shareholders funds (m USD)","P/L before tax (m USD)"
"USC2-61433","BCC CHARLOTTE AMALIE COMPANY","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61528","BCC CHARLOTTE AMALIE LTD","US","VIRGIN ISLANDS, U.S","n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61434","BCC COVE CORPORATION","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61418","BCC DRAKES PASSAGE COMPANY","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC123670237L","BCC EQUIPMENT LEASING CORP","US","LONG BEACH","4","n.a.","0","n.a.","n.a."
"KYC2-61323","BCC GRAND CAYMAN LTD","KY",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61401","BCC LINDBERGH BAY COMPANY","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61402","BCC MAFOLIE HILL COMPANY","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61403","BCC RED HOOK COMPANY","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC133196314L","BEOING CO","US","SANTA FE SPRINGS","n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61404","BITG CORPORATION","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61536","BITG LLP","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61405","BNA INTERNATIONAL SYSTEMS INC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61406","BNA OPERATIONS INTERNATIONAL INC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61408","BNJ INC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"HKC0000280702","BOEING (ASIA) INVESTMENT LIMITED","HK","KWAI FONG","80","n.a.","n.a.","n.a.","n.a."
"HKC0000280716","BOEING (ASIA) SERVICES INVESTMENT LIMITED","HK","KWAI FONG","80","n.a.","n.a.","n.a.","n.a."
"GIC2-61452","BOEING (GIBRALTAR) HOLDINGS LTD","GI",,"n.a.","n.a.","n.a.","n.a.","n.a."
"GIC2-61451","BOEING (GIBRALTAR) LTD","GI",,"n.a.","n.a.","n.a.","n.a.","n.a."
"HKC0000820798","BOEING (HONG KONG) DISTRIBUTION SERVICES LIMITED","HK",,"310","n.a.","n.a.","n.a.","n.a."
"USC2-61460","BOEING 100 NORTH RIVERSIDE LLC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC149162381L","BOEING ADVANCED INFORMATION SYSTEMS-MARYLAND OPERATIONS","US","ANNAPOLIS JUNCTION","n.a.","n.a.","n.a.","n.a.","n.a."
"USC167133747L","BOEING AERO SPACE OPER","US","OKLAHOMA CITY","n.a.","n.a.","n.a.","n.a.","n.a."
