"Id","Name","Country","City","No of employees","Total Assets (m USD)","Op. Rev. (m USD)","Shareholders funds (m USD)","P/L before tax (m USD)"
"USC223707485L","EXXON REFINERY USA-BILLINGS","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC147663236L","EXXON TIGER MART","US","IRVING","n.a.","n.a.","n.a.","n.a.","n.a."
"USC4-0345221","EXXON TRANSPORTATION CO","US","WILMINGTON DE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC147818753L","EXXON US A","US","SAN ANTONIO","n.a.","n.a.","n.a.","n.a.","n.a."
"USCEBI407784","EXXON VENTURES HOLDING, INC.","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC139999388L","EXXON WORKDWIDE TRADING CO","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC147617505L","EXXON YEMEN INC","US","HOUSTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC132507028L","EXXONMOBIL","US","WHEELING","n.a.","n.a.","n.a.","n.a.","n.a."
"USC132461908L","EXXONMOBIL","US","HAMPTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC208755456L","EXXONMOBIL - CREDIT CARD ACCOUNT","US","BEAUMONT","n.a.","n.a.","n.a.","n.a.","n.a."
"USC131471954L","EXXONMOBIL #AL5","US","BOYNTON BEACH","n.a.","n.a.","n.a.","n.a.","n.a."
"USC127389488L","EXXONMOBIL #J8T","US","WEBSTER","n.a.","n.a.","n.a.","n.a.","n.a."
"CNC9360005535","EXXONMOBIL (TAICANG) PETROLEUM CO., LTD.","CN","SUZHOU","n.a.","238","453","146","72"
"BSC122151B","EXXONMOBIL ABU DHABI OFFSHORE PETROLEUM COMPANY LIMITED","BS",,"n.a.","n.a.","n.a.","n.a.","n.a."
"NLC20157822","EXXONMOBIL AFRICA AND MIDDLE EAST INVESTMENTS B.V.","NL","BREDA","1","2,171","n.a.","2,064","n.a."
"USC149143914L","EXXONMOBIL AIRCRAFT OPERATIONS","US","STERLING","n.a.","n.a.","n.a.","n.a.","n.a."
"USCAK-10018108","EXXONMOBIL ALASKA LNG LLC","US","SPRING, TX","n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-89535","EXXONMOBIL ALASKA PRODUCTION INC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"NLC20138149","EXXONMOBIL ANGOLA HOLDING B.V.","NL","BREDA","1","n.a.","n.a.","n.a.","n.a."
"NLC20138155","EXXONMOBIL ANGOLA PARTICIPATION B.V.","NL","BREDA","1","n.a.","n.a.","n.a.","n.a."
"NLC20170438","EXXONMOBIL ARGENTINA (NEUQUEN BASIN) B.V.","NL","BREDA","n.a.","1,076","n.a.","1,075","n.a."
"NLC56477082","EXXONMOBIL ARGENTINA INVESTMENTS B.V.","NL","BREDA","n.a.","1,064","n.a.","1,064","n.a."
