"Transaction ID","Announced Date","Closed Date","Transaction Type","Role","Target","Buyer/Investors","Sellers","Rounds","Round Type","Pre-Money Valuation ($mm)","Post-Money Valuation ($mm)","Size ($mm)","Aggregate Amount Raised ($mm)†"
"IQTR554757249",May-28-2017,May-28-2017,"Merger/Acquisition","Seller","Bonefish Pipeline System","Crimson Gulf, LLC","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR412785657",Dec-11-2016,Jan-03-2018,"Merger/Acquisition","Seller","RasGas Company Limited","Qatargas Operating Company Limited (nka:Qatargas)","Exxon Mobil Corporation (NYSE:XOM); Qatar Petroleum","-","-","-","-","-","-"
"IQTR410112073",Nov-16-2016,Mar-15-2018,"Merger/Acquisition","Seller","ExxonMobil Andean Holding LLC and ExxonMobil Ecuador Cía. Ltda.","Organización Terpel S.A. (BVC:TERPEL)","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  715.0 ","-"
"IQTR370157630",Jun-30-2016,Feb-22-2017,"Merger/Acquisition","Buyer","InterOil Corporation","Exxon Mobil Corporation (NYSE:XOM)","Capital World Investors; Fidelity Management & Research Company; Wells Capital Management Incorporated; Wells Fargo Funds Management, LLC","-","-","-","-","  3,121.53 ","-"
"IQTR340395082",May-18-2016,May-18-2016,"Merger/Acquisition","Seller","Exxon Mobil Brookhollow Facility",,"Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  11.0 ","-"
"IQTR325365188",Feb-11-2016,Nov-01-2016,"Merger/Acquisition","Seller","Exxon Mobil Corporation, Aviation Fueling Operations at 83 International Airport Locations","World Fuel Services Corporation (NYSE:INT)","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  260.0 ","-"
"IQTR310402744",Aug-31-2015,Aug-17-2015,"Merger/Acquisition","Seller","Pegasus Place LLC.","J. Small Investments","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR304749850",Jun-23-2015,Jun-23-2015,"Merger/Acquisition","Seller","Approximately 177 Acres in Webster","Medistar Corporation","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR304386904",Jun-18-2015,Nov-01-2015,"Merger/Acquisition","Seller","Chalmette Refining, LLC","PBF Holding Company LLC","Exxon Mobil Corporation (NYSE:XOM); Mobil Pipe Line Co.; Petróleos de Venezuela, S.A.","-","-","-","-","  555.08 ","-"
"IQTR297150574",May-06-2015,Mar-31-2015,"Merger/Acquisition","Seller","King Ranch Project","Energy Transfer Partners, L.P. (nka:Energy Transfer Operating, L.P.)","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  370.0 ","-"
"IQTR289205600",Mar-23-2015,Dec-31-2014,"Merger/Acquisition","Buyer","Parva Negra Este Block in Argentina","Exxon Mobil Corporation (NYSE:XOM)",,"-","-","-","-","-","-"
"IQTR290303558",Mar-18-2015,Jan-15-2015,"Merger/Acquisition","Target","Exxon Mobil Corporation (NYSE:XOM)",,"Wellcome Trust, Investment Division","-","-","-","-","-","-"
"IQTR408972573",Dec-31-2014,Dec-31-2014,"Merger/Acquisition","Seller","Exxon Mobil Corporation, Card Processing For Asia Pacific region","WEX Inc. (NYSE:WEX)","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR279854247",Dec-12-2014,Oct-31-2015,"Merger/Acquisition","Seller","Topaz Bull Fuels Limited","Topaz Investments Limited","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  93.59 ","-"
"IQTR270245305",Aug-11-2014,Aug-11-2014,"Merger/Acquisition","Seller","Exxon Mobil Corporation, 2.9-Acre Parcel in Gilbert","Nationwide Realty Investors Ltd.","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR265432753",Jun-04-2014,Jun-04-2014,"Merger/Acquisition","Seller","Exxon Mobil Corporation, Eight Greenspoint Plaza Building","AllianceBernstein L.P.; Stream Realty Partners, L.P. Buyer Funds: AllianceBernstein U.S. Real Estate Partners, L.P.","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR264239224",May-21-2014,Aug-15-2014,"Merger/Acquisition","Buyer","26,000 Acres U.S. Oil And Natural Gas Portfolio In Permian Basin","Exxon Mobil Corporation (NYSE:XOM); ExxonMobil Oil Corporation; Mobil E&P U.S. Development Corporation; XTO Energy Inc.","Berry Petroleum Company, LLC (nka:Berry Corporation (NasdaqGS:BRY)); Linn Energy Holdings, LLC (nka:Riviera Upstream, LLC)","-","-","-","-","-","-"
"IQTR252237379",Nov-28-2013,Dec-02-2013,"Merger/Acquisition","Seller","West Qurna 1","PetroChina International Iraq FZE; PT Pertamina (Persero)","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR250237584",Nov-08-2013,Dec-01-2014,"Merger/Acquisition","Seller","Exxon Mobil Corporation, Esso Card Program","WEX Europe Services Limited","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  80.0 ","-"
"IQTR244751160",Aug-19-2013,Aug-19-2013,"Merger/Acquisition","Seller","Green Canyon 18 & 60","Whistler Energy II, LLC","Exxon Mobil Corporation (NYSE:XOM); W&T Offshore, Inc. (NYSE:WTI)","-","-","-","-","-","-"
"IQTR225849236",Jan-04-2013,"-","Merger/Acquisition","Seller","Exxon Mobil Corporation, 800 Bell Street","Shorenstein Company LP Buyer Funds: Shorenstein Realty Investors Ten, L.P.","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  50.0 ","-"
"IQTR225321761",Dec-17-2012,Aug-01-2013,"Merger/Acquisition","Buyer","Impact Africa Limited, Tugela South Exploration Right","Exxon Mobil Corporation (NYSE:XOM)","Impact Africa Limited","-","-","-","-","-","-"
"IQTR222440023",Oct-01-2012,Oct-17-2012,"Merger/Acquisition","Seller","Exxon Mobil Corporation, Certain Shallow-Water Gulf of Mexico Interests","Energy XXI (Bermuda) Limited (nka:Energy XXI Ltd)","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  33.46 ","-"
"IQTR214167525",Jul-13-2012,Oct-31-2012,"Merger/Acquisition","Seller","Aasta Hansteen Field","OMV Aktiengesellschaft (WBAG:OMV)","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR210268657",Jun-21-2012,"-","Buyback","Seller","Imperial Oil Limited (TSX:IMO)",,"Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR202181135",Apr-16-2012,Apr-16-2012,"Merger/Acquisition","Seller","Exxon Mobil Corp., Harmattan Acreage in the Cardium Formation of the Western Canada Basin in Alberta","Public Joint Stock Company Rosneft Oil Company (LSE:ROSN)","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  67.55 ","-"
"IQTR183328015",Mar-28-2012,Mar-31-2011,"Merger/Acquisition","Buyer","Various Interests in License L006, Licenses L009 and L011 in Faroe Islands","Exxon Mobil Corporation (NYSE:XOM)",,"-","-","-","-","-","-"
"IQTR183330983",Mar-28-2012,Dec-31-2011,"Merger/Acquisition","Buyer","EL471 and EL472 in the Summit Creek Area of the Northwest Territories","Exxon Mobil Corporation (NYSE:XOM); Imperial Oil Limited (TSX:IMO)",,"-","-","-","-","-","-"
"IQTR207145670",Dec-31-2011,Dec-31-2011,"Private Placement","Buyer","Mobil Oil New Zealand Limited","Exxon Mobil Corporation (NYSE:XOM)",,1,"Growth","-","-","  350.0 ","  350.0 "
"IQTR238999837",Nov-16-2011,Apr-05-2013,"Merger/Acquisition","Buyer","Block LB-13 offshore Liberia","Exxon Mobil Corporation (NYSE:XOM)","Canadian Overseas Petroleum Bermuda Limited","-","-","-","-","  85.0 ","-"
"IQTR140719140",Sep-21-2011,Dec-31-2011,"Merger/Acquisition","Seller","Apache Beryl I Limited","Apache North Sea Limited","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  1,750.0 ","-"
"IQTR139424778",Aug-17-2011,Mar-30-2012,"Merger/Acquisition","Seller","Exxonmobil Borneo Sdn. Bhd. and ExxonMobil Malaysia Sdn Bhd","Petron Oil & Gas International Sdn Bhd","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  403.98 ","-"
"IQTR139641748",Aug-17-2011,Aug-17-2011,"Merger/Acquisition","Seller","Exxon Mobil Corporation, 80 Retail Sites in Houston","Landmark Industries, Inc.","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR139642477",Aug-17-2011,Aug-17-2011,"Merger/Acquisition","Seller","Exxon Mobil Corporation, 59 Retail Sites in Texas",,"Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR139401905",Aug-16-2011,Jan-20-2012,"Merger/Acquisition","Seller","Exxon Mobil Corp., Retail Interests in 51 North Texas Sites","7-Eleven, Inc.","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR139404855",Aug-16-2011,Oct-21-2011,"Merger/Acquisition","Seller","Exxon Mobil Corporation, 33 Stores in Louisiana","Circle K Stores Inc.","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR137693084",Jul-19-2011,Jul-19-2011,"Merger/Acquisition","Seller","Exxon Mobil Corp., Petroleum Marine Terminal in Bangor","Buckeye Partners, L.P.; Irving Oil Terminals Inc.","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  23.5 ","-"
"IQTR134733203",Jun-23-2011,"-","Buyback","Seller","Imperial Oil Limited (TSX:IMO)",,"Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR134237055",Jun-13-2011,Jun-30-2013,"Merger/Acquisition","Seller","Exxon Mobil Corporation, 322 Sites and Additional 65 Reseller Contracts in Southern California","Circle K Stores Inc.","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR138677484",Jun-07-2011,Jun-06-2011,"Merger/Acquisition","Seller","Exxon Mobil Corporation, Canton Crossing Retail Site","BCP Investors, LLC","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  6.4 ","-"
